"{obj_name}は複製元のオブジェクト名、{sk_name}はシェイプキー名に置換されます","{obj_name} is replaced with the source object name and {sk_name} is replaced with the shape key name"
"新規オブジェクト名","New Object Name"
"均等に配分","Evenly distributed"
"形状を転送(強制)","Transfer Shape(Forced)"
"他選択オブジェクトの形状を転送します。頂点数が合わなくても、強制的に頂点インデックス同士で転送します","Transfers the shape of the selected object. Even if the number of vertices does not match, it is forcibly transferred between vertex indexes"
"全てのシェイプキーごとにオブジェクトを生成","Create Objects for All Shape Keys"
"ターゲットオブジェクトの頂点数よりソースオブジェクトの頂点数が少ない場合、最後の頂点位置に残りのシェイプキーがまとまらないように、再度インデックスを繰り返します","If the number of vertices in the source object is less than the number of vertices in the target object, repeat the index again so that the remaining shape keys do not come together at the last vertex position"
"シェイプキーごとにその形状の新規オブジェクトを作成します。\n全シェイプキーを一覧表示したり、一度別オブジェクト化して個々に編集した後、再度シェイプキーとして結合するような使い方で便利です","Create a new object of that shape for each shape key.\nIt is convenient to display all shape keys in a list, or to make them into separate objects, edit them individually, and then combine them as shape keys again"
"モディファイアを適用(シェイプキー保持)","Apply Modifier(Keep Shape Keys)"
"シェイプキーがあってもモディファイアを適用します。\n各シェイプキーごとの複製を作って、[シェイプキーとして結合]を実行します。\nこの機能では、シェイプキーの各値やドライバーも保持されます","Apply modifiers even if you have a shape key.\nMake a duplicate for each shape key and run Combine as Shape Key.\nThis feature also preserves each shape key value and driver"
"制限方法:[角度]は、形状によって頂点数が変わり適用に失敗します！","How to limit: [Angle] fails to apply because the number of vertices changes depending on the shape!"
"適用後に、シェイプキーの形状ごとに頂点数が変わるモディファイアは適用できません！","After applying, modifiers that change the number of vertices for each shape key shape cannot be applied!"
"適用するモディファイアを一つ以上選択してください","Select one or more modifiers to apply"
"名前の行頭に「@」が付くシェイプキーブロックを、フォルダーにします。\nシェイプキーのリストメニューに段差を付けて、分類しやすくします","Make the shape key block with '@' at the beginning of the name line into a folder.\nAdd a step to the shape key list menu to make it easier to classify"
"リストメニューでフォルダーを使用","Use Folder in List Menu"
"フォルダーの記号","Folder Token"
"シェイプキー同期をアップデート","Update Shapekeys Sync"
"対象コレクション内のオブジェクトの同名シェイプキーブロックのリストを作って、一括操作できるメニューを作ります。\nオブジェクト分けされている同じシェイプキーをまるごと操作するのに便利です","Create a list of shape key blocks with the same name for the objects in the target collection, and create a menu that can be operated collectively.\nUseful for manipulating the same shape key that is separated into objects"
"スライダー表示を使用","Use Slider Display"
"同名の複数のシェイプキーがありません","There are no multiple shape keys with the same name"
"アクティブオブジェクトの値を設定","Set Active Object Value"
"一括キー挿入","Batch Keyframe Insert"
"フォルダー","Folder"
"オブジェクト同期","Objects Sync"
"Fカーブキーフレームのドラッグ移動","Drag Move of Fcurve Keyframe"
"乗算する値","Multply Value"
"ドラッグ移動機能での移動量","Movement amount with the drag movement function"
"ドラッグ移動機能での、マウス移動量に乗算される値(Lazy Shapekeysアドオン)","Value multiplied by the amount of mouse movement in the drag movement function (Lazy Shapekeys add-on)"
"シェイプキーのFカーブを新規グラフエディターで開く","Open Shapekey FCurve in New Graph Editor"
"表示切り替え","Toggle Expand"
"シェイプキーを他のフォルダに移動する","Move Shapekey to Other Folder"
"アイテムを追加","Add Item"
"削除","Remove"
"アクティブアイテムを複製","Duplicate Active Item"
"フォルダー用のシェイプキーを追加","Add Folder Shapekey Item"
"アイテムを削除","Remove item"
"フォルダー用のシェイプキーを追加します。\n(フォルダー用のシェイプキーには、頂点グループオプションにフォルダーの情報が保存されます)","Add a shape key for the folder.\n(The shape key for the folder stores the folder information in the vertex group option)"
"フォルダーオプションを表示","Display Folder Option"
"フォルダー用シェイプキーがアクティブの場合、非表示にされているシェイプキー情報を表示するようにします(デバッグ用)","Display hidden shape key info when folder shape key is active (for debugging)"
"アクティブシェイプキーをフォルダーにする","Change Active Shapekey to Folder"
"アクティブシェイプキーをフォルダー用シェイプキーとして扱うように変更します。\n頂点グループオプションにフォルダー用と認識される文字列を追加します","Change the active shape key to be treated as a folder shape key.\nAdds a string recognized for folders to vertex group options"
"フォルダー用のシェイプキーを追加します。\nフォルダ情報はシェイプキーの頂点グループオプションに保存されます","Add a shape key for the folder.\nThe folder information is stored in the shape key's vertex group option"
"フィルダーリストの区切り幅","Folder List Split Width"
"アイテムメニューの区切り幅","List Item Menu Split Width"
"フォルダーシェイプキーの縦幅","Folder Shape Keys List Rows"
"フォルダー内シェイプキーの縦幅","Folder Inner Shape Keys List Rows"
"アイテムを一括選択","Batch　Select Item"
"'Lazy Shapekeys'のリストの行数","'Lazy Shapekeys' List Number of lines"
"現在のフレームでのシェイプキーの値","Value of shape key at the current frame"
"復数選択しているシェイプキーに対して、一括処理を行います。\nシェイプキーのアイコンをクリックすることで、選択状態となります","Batch processing is performed for the multi selected shape keys.\nBy clicking the shape key icon, it will be in the selected state"
"一括処理","Batch Processing"
"一括処理を行う","Run Batch Processing"
"すべて選択解除します。Basisとフォルダー用シェイプキーは無視されます。\nAlt + クリック:一括処理用のシェイプキー選択を、一括して切り替えます。\nフォルダータブの場合は、フォルダー内のシェイプキーのみを対象に選択します","Deselect all. Basis and folder shape keys are ignored.\nAlt + Click: Toggle shape key selection for batch processing in bulk.\nFor folder tabs, select only shape keys within folders"
"アイテムを選択(一括実行用)","Select Item(for Batch Operation)"
"すべての選択を切り替えます。\n全選択の場合かつフォルダータブでは、アクティブフォルダー内のシェイプキーのみを対象に選択します","Toggles all selections.\nWhen selecting all and in the folder tab, only the shape keys in the active folder are selected"
"選択を行います。\n通常の選択ではなく、アドオンの一括処理機能用の復数選択を行います。\nAlt + クリック: 全選択解除","Make a selection.\nDoes a multiple selection for the add-on's batch processing feature instead of the normal selection.\nAlt + Click: Deselect All"
"",""
"",""
"",""
"",""
